policy,dim,slice,n,mean_r,median_r,win_rate,worst,max_consec_losers,sd,ci_lo,ci_hi,trading_days,trades_per_year,ann_dollars,thin,retired
flat_1r,symbol|month,AMD|2025-10,5,0.550000,1.000000,0.800000,-1.250000,1,0.900000,-0.238885,1.338885,5,252.000,138600.00,1,0
flat_1r,symbol|month,AMD|2025-11,10,-0.551055,-1.250000,0.300000,-1.250000,4,1.017821,-1.181906,0.079797,6,420.000,-231442.92,1,0
flat_1r,symbol|month,AMD|2025-12,5,0.100000,1.000000,0.600000,-1.250000,2,1.102270,-0.866183,1.066183,2,630.000,63000.00,1,0
flat_1r,symbol|month,AMD|2026-01,6,-0.125000,-0.125000,0.500000,-1.250000,2,1.125000,-1.025187,0.775187,5,302.400,-37800.00,1,0
flat_1r,symbol|month,AMD|2026-02,3,0.250000,1.000000,0.666667,-1.250000,1,1.060660,-0.950250,1.450250,3,252.000,63000.00,1,0
flat_1r,symbol|month,AMD|2026-03,5,-0.752500,-1.250000,0.200000,-1.250000,4,0.881065,-1.524787,0.019787,4,315.000,-237037.50,1,0
flat_1r,symbol|month,AMD|2026-04,5,0.100000,1.000000,0.600000,-1.250000,1,1.102270,-0.866183,1.066183,5,252.000,25200.00,1,0
flat_1r,symbol|month,AMD|2026-05,6,0.250000,1.000000,0.666667,-1.250000,2,1.060660,-0.598705,1.098705,5,302.400,75600.00,1,0
flat_1r,symbol|month,AMD|2026-06,7,0.357143,1.000000,0.714286,-1.250000,2,1.016446,-0.395851,1.110137,6,294.000,105000.00,1,0
flat_1r,symbol|month,AMD|2026-07,8,0.156250,1.000000,0.625000,-1.250000,2,1.089277,-0.598580,0.911080,6,336.000,52500.00,1,0
flat_1r,symbol|month,AMD|2026-08,3,0.250000,1.000000,0.666667,-1.250000,1,1.060660,-0.950250,1.450250,2,378.000,94500.00,1,0
flat_1r,symbol|month,AMZN|2025-08,1,-1.250000,-1.250000,0.000000,-1.250000,1,0.000000,-1.250000,-1.250000,1,252.000,-315000.00,1,0
flat_1r,symbol|month,AMZN|2025-11,3,-0.500000,-1.250000,0.333333,-1.250000,1,1.060660,-1.700250,0.700250,3,252.000,-126000.00,1,0
flat_1r,symbol|month,AMZN|2026-01,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,AMZN|2026-02,4,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,4,252.000,252000.00,1,0
flat_1r,symbol|month,AMZN|2026-03,3,0.250000,1.000000,0.666667,-1.250000,1,1.060660,-0.950250,1.450250,3,252.000,63000.00,1,0
flat_1r,symbol|month,AMZN|2026-04,1,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,1,252.000,252000.00,1,0
flat_1r,symbol|month,AMZN|2026-05,3,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,3,252.000,252000.00,1,0
flat_1r,symbol|month,AMZN|2026-06,3,1.000000,1.000000,1.000000,1.000000,0,0.000000,1.000000,1.000000,3,252.000,252000.00,1,0
