sym,day,entry_i,side,sgrade,book_r,clock_st_100_trail,clock_st_30_70,clock_st_30_70_be,clock_st_50_50,clock_st_50_50_be,clock_st_70_30,clock_st_70_30_be,clock_st_50_25x4r_25,clock_st_50_25x4r_25_be,clock_st_50_20x4r_20x5r,clock_st_50_20x4r_20x5r_be,clock_st_30_30x4r_30x5r,clock_st_30_30x4r_30x5r_be,clock_st_100_trail_be,clock_oracle_stopped,clock_oracle_best_close,clock_oracle_MFE,noclock_st_100_trail,noclock_st_30_70,noclock_st_30_70_be,noclock_st_50_50,noclock_st_50_50_be,noclock_st_70_30,noclock_st_70_30_be,noclock_st_50_25x4r_25,noclock_st_50_25x4r_25_be,noclock_st_50_20x4r_20x5r,noclock_st_50_20x4r_20x5r_be,noclock_st_30_30x4r_30x5r,noclock_st_30_30x4r_30x5r_be,noclock_st_100_trail_be,noclock_oracle_stopped,noclock_oracle_best_close,noclock_oracle_MFE
PLTR,2025-04-23,49,L,C,1.404,3.573,3.116,3.116,2.811,2.811,2.506,2.506,2.918,2.918,3.182,3.182,3.672,3.672,3.573,4.280,4.280,5.756,3.573,3.116,3.116,2.811,2.811,2.506,2.506,2.918,2.918,3.182,3.182,3.672,3.672,3.573,4.280,4.280,5.756
PLTR,2025-04-24,21,L,C,1.067,-0.268,1.085,1.085,1.408,1.408,1.732,1.732,1.408,1.408,1.408,1.408,1.085,1.085,-0.367,3.234,3.234,3.567,-0.268,1.085,1.085,1.408,1.408,1.732,1.732,1.408,1.408,1.408,1.408,1.085,1.085,-0.367,3.234,11.297,11.500
PLTR,2025-04-28,22,L,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.535,-0.186,-0.186,0.558,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.535,-0.186,2.186,2.279
PLTR,2025-04-29,74,L,C,-1.000,2.183,2.183,2.183,2.183,2.183,2.183,2.183,2.183,2.183,2.183,2.183,2.183,2.183,-0.058,2.183,2.183,2.308,1.595,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.058,3.212,7.346,10.538
PLTR,2025-06-09,69,L,C,2.308,1.038,1.408,1.408,1.654,1.654,1.900,1.900,2.394,2.394,2.246,2.246,2.296,2.296,-0.269,4.500,4.500,4.962,1.038,1.408,1.408,1.654,1.654,1.900,1.900,2.394,2.394,2.246,2.246,2.296,2.296,-0.269,18.346,18.346,18.692
PLTR,2025-06-11,84,L,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.500,-0.500,-0.500,0.625,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.500,-0.500,-0.500,3.906
PLTR,2025-06-25,21,L,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.500,0.326,0.326,0.875,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.500,0.326,0.326,0.875
PLTR,2025-07-21,55,L,S,-1.000,-0.444,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-0.019,1.333,1.333,1.630,-0.444,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-1.240,-0.019,1.333,1.333,1.630
PLTR,2025-08-06,30,L,C,3.103,0.379,9.137,9.137,7.467,7.467,5.797,5.797,5.557,5.557,4.611,4.611,4.852,4.852,0.379,18.690,18.690,19.660,0.379,9.137,9.137,7.467,7.467,5.797,5.797,5.557,5.557,4.611,4.611,4.852,4.852,0.379,18.690,18.690,19.660
PLTR,2025-08-15,66,S,A,2.057,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,-0.157,3.014,3.014,3.771,1.643,2.057,2.057,2.057,2.057,2.057,2.057,2.057,2.057,2.057,2.057,2.057,2.057,-0.157,6.057,6.057,6.400
