sym,day,entry_i,side,sgrade,book_r,clock_flat_1r,clock_flat_2r,clock_hod_only,clock_30_30_30_10,clock_50_20_20_10,clock_flat_3r,clock_flat_4r,clock_flat_5r,noclock_flat_1r,noclock_flat_2r,noclock_hod_only,noclock_30_30_30_10,noclock_50_20_20_10,noclock_flat_3r,noclock_flat_4r,noclock_flat_5r
TSLA,2025-03-21,10,L,C,1.708,1.000,2.000,1.733,1.438,1.522,3.000,-1.163,-1.163,1.000,2.000,1.733,1.438,1.522,3.000,-1.163,-1.163
TSLA,2025-04-01,22,S,C,-1.000,1.000,2.000,-1.071,-1.196,-1.161,-1.071,-1.071,-1.071,1.000,2.000,-1.071,-1.196,-1.161,-1.071,-1.071,-1.071
TSLA,2025-04-02,10,L,A,7.344,1.000,2.000,7.911,9.075,8.742,3.000,4.000,5.000,1.000,2.000,7.911,9.075,8.742,3.000,4.000,5.000
TSLA,2025-04-03,11,L,A,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2025-04-11,13,L,C,1.818,1.000,2.000,1.427,0.144,0.510,-1.250,-1.250,-1.250,1.000,2.000,1.427,0.144,0.510,-1.250,-1.250,-1.250
TSLA,2025-04-17,51,S,C,3.209,1.000,2.000,3.146,3.362,3.301,3.000,4.000,5.000,1.000,2.000,3.146,3.362,3.301,3.000,4.000,5.000
TSLA,2025-04-23,61,L,S,3.554,1.000,2.000,4.964,4.783,4.834,3.000,4.000,5.000,1.000,2.000,4.964,4.783,4.834,3.000,4.000,5.000
TSLA,2025-04-24,34,L,S,3.564,1.000,2.000,4.474,3.837,4.019,3.000,4.000,5.000,1.000,2.000,4.474,3.837,4.019,3.000,4.000,5.000
TSLA,2025-04-25,15,L,C,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2025-04-28,15,L,C,4.231,1.000,2.000,5.056,3.863,4.204,3.000,4.000,5.000,1.000,2.000,5.056,3.863,4.204,3.000,4.000,5.000
TSLA,2025-05-01,77,L,C,1.143,1.000,2.000,2.205,2.190,2.194,3.000,1.196,1.196,1.000,2.000,2.205,2.190,2.194,3.000,4.000,5.000
TSLA,2025-05-08,63,L,C,-1.000,1.000,2.000,-1.250,-1.212,-1.223,3.000,-1.250,-1.250,1.000,2.000,-1.250,-1.212,-1.223,3.000,-1.250,-1.250
TSLA,2025-06-02,49,S,A,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2025-06-09,5,S,C,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2025-06-12,36,L,C,-1.000,1.000,2.000,-1.212,-1.238,-1.231,3.000,4.000,5.000,1.000,2.000,-1.212,-1.238,-1.231,3.000,4.000,5.000
TSLA,2025-06-23,6,L,C,-1.000,-1.163,-1.163,-1.163,-0.675,-0.815,-1.163,-1.163,-1.163,-1.163,-1.163,-1.163,-0.675,-0.815,-1.163,-1.163,-1.163
TSLA,2025-08-13,9,L,S,3.898,1.000,2.000,2.424,3.227,2.998,3.000,4.000,5.000,1.000,2.000,2.424,3.227,2.998,3.000,4.000,5.000
TSLA,2025-09-11,19,S,A,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2025-09-22,27,L,C,1.641,1.000,2.000,3.980,4.349,4.244,3.000,4.000,5.000,1.000,2.000,3.980,4.349,4.244,3.000,4.000,5.000
TSLA,2025-10-01,13,L,C,-1.000,1.000,2.000,-1.093,-0.768,-0.861,3.000,-1.093,-1.093,1.000,2.000,-1.093,-0.768,-0.861,3.000,-1.093,-1.093
TSLA,2025-10-09,16,S,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2025-10-13,50,S,A,-1.000,1.000,2.000,-1.250,-1.219,-1.228,-1.250,-1.250,-1.250,1.000,2.000,-1.250,-1.219,-1.228,-1.250,-1.250,-1.250
