Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Close Date,Close Time,Commission,Custom Tags,Duration,Entry Price,Executions,Exit Price,Gross P&L,Trade Risk,Initial Target,Instrument,Spread Type,Mistakes,Net P&L,Net ROI,Open Date,Open Time,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Realized RR,Return Per Pip,Reviewed,Side,Status,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Quantity,Zella Score
Backtesting,191037.0,190030.5,115.78,115.17,,,,,2024-07-29,09:50:56 EDT,0.0,"",416.001,115.78,2,115.17,-1006.5,-1006.5,2112.0,NVDA,stock,"",-1006.5,-0.00526861,2024-07-29,09:43:59 EDT,,2.09836066,,-1270.5,825.0,115.01,116.28,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,1650.0,-79.22077922
Backtesting,309892.5,307827.0,229.55,228.02,31.94,6466.365,224.7601,2024-07-30 15:12:00 UTC,2024-07-30,09:45:48 EDT,0.0,"",168.001,229.55,2,228.02,2065.5,-648.0,2065.5,TSLA,stock,"",2065.5,0.00670994,2024-07-30,09:42:59 EDT,,3.1875,,-120.96,2065.5,229.6396,228.02,3.1875,,false,short,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1350.0,100.0
Backtesting,178596.0,179619.0,108.24,108.86,,6550.5,104.27,2024-07-30 14:40:00 UTC,2024-07-30,10:15:22 EDT,0.0,"",262.001,108.24,2,108.86,-1023.0,-1023.0,2013.0,NVDA,stock,"",-1023.0,-0.00569539,2024-07-30,10:10:59 EDT,,1.96774194,,-1105.5,181.5,108.91,108.13,-1.0,,false,short,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,1650.0,-92.53731343
Backtesting,270500.0,268275.0,108.2,107.31,22.65,9825.5,104.27,2024-07-30 14:54:00 UTC,2024-07-30,10:33:06 EDT,0.0,"",486.001,108.2002,2,107.31,2225.5,-999.5,2225.5,NVDA,stock,"",2225.5,0.00829559,2024-07-30,10:24:59 EDT,,2.22661331,,-224.5,2725.5,108.29,107.11,2.22661331,,false,short,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,2500.0,81.65474225
Backtesting,286150.0,288300.0,114.46,115.32,42.79,5025.0,116.47,2024-07-31 15:30:00 UTC,2024-07-31,10:07:11 EDT,0.0,"",371.001,114.46,2,115.32,2150.0,-1050.0,2150.0,NVDA,stock,"",2150.0,0.00751354,2024-07-31,10:00:59 EDT,,2.04761905,,-325.0,2425.0,114.33,115.43,2.04761905,,false,long,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,2500.0,88.65979381
Backtesting,239700.0,238680.0,119.85,119.34,,,,,2024-08-01,09:49:42 EDT,0.0,"",42.001,119.85,2,119.34,-1020.0,-1020.0,2040.0,NVDA,stock,"",-1020.0,-0.00425532,2024-08-01,09:48:59 EDT,,2.0,,-1060.0,40.0,119.32,119.87,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,2000.0,-96.22641509
Backtesting,384455.0,385526.0,226.15,226.78,,3960.83,223.82,2024-08-01 15:04:00 UTC,2024-08-01,10:38:58 EDT,0.0,"",238.001,226.1499,2,226.78,-1071.17,-1071.17,2141.83,TSLA,stock,"",-1071.17,-0.00277846,2024-08-01,10:34:59 EDT,,1.99952389,,-1071.17,866.83,226.78,225.64,-1.0,,false,short,Loss,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1700.0,-100.0
Backtesting,278280.0,276456.0,115.95,115.19,26.3,6936.0,113.06,2024-08-01 15:05:00 UTC,2024-08-01,10:42:47 EDT,0.0,"",407.001,115.95,2,115.19,1824.0,-1008.0,1824.0,NVDA,stock,"",1824.0,0.00659779,2024-08-01,10:35:59 EDT,,1.80952381,,-360.0,2232.0,116.1,115.02,1.80952381,,false,short,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,2400.0,81.72043011
Backtesting,225945.0,224870.0,225.945,224.87,29.49,3645.0,222.3,2024-08-01 15:47:00 UTC,2024-08-01,11:16:59 EDT,0.0,"",1740.0,225.945,2,224.87,1075.0,-1155.0,2305.0,TSLA,stock,"",1075.0,0.00478054,2024-08-01,10:47:59 EDT,,1.995671,,-494.9,2125.0,226.4399,223.82,0.93073593,,false,short,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1000.0,50.58823529
Backtesting,83920.0,83368.0,104.9,104.21,,3056.0,108.72,2024-08-02 15:20:00 UTC,2024-08-02,09:51:38 EDT,0.0,"",38.001,104.9,2,104.21,-552.0,-552.0,2080.0,NVDA,stock,"",-552.0,-0.00657769,2024-08-02,09:50:59 EDT,,3.76811594,,-560.0,88.0,104.2,105.01,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,800.0,-98.57142857
